SQ1,SQ2,SQ3,SQ5,SQ7,SQ8,Q2_7,Q2_8,Q2_9,Q2_10,Q4_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q12_2,Q14_2,Q17,Q18,Q19,Q20,Q22,Q23,Q28,Q29,Q30,Q31,Q38,Q39,Q41
1,35,23,7,8,1,9,9,9,9,2,5,9,9,9,9,9,9,9,14,12,20,2,7,5,1,2,1,8,3,1,4,3,6
2,30,27,7,2,1,5,6,6,6,3,16,5,5,5,5,5,5,5,4,8,60,3,5,2,2,1,1,2,2,2,1,3,6
2,32,6,7,8,2,7,7,7,5,2,9,6,6,6,6,6,6,7,6,2,90,2,3,3,1,2,1,8,1,1,6,8,4
2,22,13,7,27,1,8,6,8,7,2,19,7,7,8,7,8,7,8,18,28,30,4,3,3,1,3,1,28,,1,1,3,2
2,28,35,7,27,2,6,6,7,7,3,8,7,7,7,6,6,6,5,9,8,20,3,3,1,2,2,7,,,4,1,8,2
2,40,38,7,8,1,6,6,6,6,3,2,6,6,6,6,6,6,6,18,28,60,5,3,2,1,2,5,,,2,2,2,14
2,60,27,7,12,2,3,9,7,7,2,8,10,10,7,7,7,8,8,18,28,3,1,2,2,1,2,1,28,,1,2,8,5
2,54,13,7,8,2,5,5,5,5,3,13,5,5,5,5,5,5,5,18,12,120,3,5,1,1,2,1,8,3,1,6,7,14
1,40,13,7,25,1,7,7,8,7,2,13,7,6,7,7,6,7,7,4,2,7,1,2,3,1,2,3,,,3,1,4,3
2,30,13,7,8,1,5,6,7,7,2,8,6,7,6,7,6,7,6,2,28,20,1,3,1,1,2,1,8,4,2,2,8,5
1,60,14,8,8,1,9,9,8,8,2,11,8,7,4,9,8,8,8,5,24,14,1,4,1,1,2,1,8,3,4,6,10,4
1,36,8,7,2,1,7,8,8,7,2,15,8,7,7,7,7,7,6,18,25,14,3,3,2,3,2,1,2,3,2,1,3,8
1,44,22,7,24,2,5,6,3,3,3,1,7,10,5,5,6,6,8,5,8,7,7,0,1,1,3,2,,,4,6,3,5
2,46,13,7,24,2,10,10,10,10,1,16,10,10,10,10,10,10,10,18,8,20,1,1,1,1,2,1,8,6,4,2,7,7
2,39,21,8,25,1,7,10,10,10,1,11,6,9,8,10,10,9,10,6,2,90,2,10,7,3,2,5,,,2,2,4,8
1,38,46,7,8,2,7,7,7,7,3,10,6,6,7,6,6,6,7,18,28,90,3,3,1,2,2,1,8,2,2,1,5,14
2,45,28,7,21,2,6,6,6,6,2,11,6,6,6,6,6,6,6,5,9,60,4,5,1,1,2,1,4,6,1,2,7,7
2,55,40,7,27,2,8,8,5,6,2,9,8,8,8,7,8,8,9,2,8,10,1,3,1,3,1,2,,,2,1,8,14
2,31,19,7,2,1,8,6,7,7,2,10,8,7,6,8,7,7,8,14,8,90,3,5,1,1,1,1,8,6,4,6,7,5
1,45,33,7,21,1,5,6,4,4,2,3,8,6,4,5,5,4,5,1,8,5,1,3,1,1,2,1,2,2,2,1,3,5
